,Date,Username,Tweet
32,2022-05-27 04:47:02+00:00,Mr_aalekh,Happy to have completed my CitiBank APAC Investment Banking Virtual Reality Intern Experience. Thank you Citi It was a great opportunity and a wonderful learning experience. Thank you @iam_khare for introducing me to this program.…https://t.co/kON1NQiDdV https://t.co/E3iQ3spCdb
33,2022-05-27 04:46:32+00:00,jonicuquet,"@lukebryan @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 Luke Bryan just sang, “Lady”, honoring Lionel Richie at the Lincoln Center on PBS tonight!  Luke was awesome!!!"
34,2022-05-27 04:36:56+00:00,AndyR_1982,"@OOOL1908 Definitely, Best jumper mate. Mighty Citibank bears."
35,2022-05-27 04:33:59+00:00,itscharliemar,"Meanwhile, Citibank downgrades US stocks and increase recession risk! 

And, Bank of Americas ‘Bull and Bear’ indicator hits one if it’s lowest points on record.  (HIGH FEAR/BEAR MARKET)"
36,2022-05-27 04:33:11+00:00,satoshibacon,@btt_777 @RealyNiggaohman Wells fargo + citibank + union bank + hsbc = mastercard + nasdaq = dcg = grayscale + zcash + mana + stx + coinbase + kraken + ledger + etherscan =&gt; tradfi = cefi = defi = 1 giuộc
37,2022-05-27 04:32:45+00:00,FadzlanMokhtar,Betul ke Ringgit Plus bagi iPhone kalau apply credit card citibank? 😑
38,2022-05-27 04:15:25+00:00,mediabro17,"@Citibank Another stock photo of a Black person? I get it, that's your target demographic to harass and call cops on for depositing checks!"
39,2022-05-27 04:15:18+00:00,mediabro17,"@Citibank @AskCiti Another stock photo of a Black person? I get it, that's your target demographic to harass and call cops on for depositing checks!"
40,2022-05-27 04:14:19+00:00,mediabro17,@Citibank @Mastercard @SU2C Using a happy Black father and child in this promo when you treat Black people like SHYT in real life? This is false advertising.
41,2022-05-27 04:14:00+00:00,sane4stargate1,@babystorme_ Damn I just saw the story about this women check fiasco with citi Bank. SUE THE SHIT OUT OF THEM.
42,2022-05-27 04:13:32+00:00,mediabro17,@Citibank Can you break down how many racist actions Citibank requires monthly?
43,2022-05-27 04:11:56+00:00,Dctopboy_1,"off yo slip citi bank aint dead 🦈🦈 good business !
@dctopboy1 https://t.co/4AokZLiGTl"
44,2022-05-27 04:01:14+00:00,xiruvagabundo,"@Daniel_RS83 @Ricardo19456851 @cuervos_ @NandoGross Que bancos? Banco mundial falou em 0,7, Citi Bank em 0,1. Ca entre nós, resultado decepcionante pra um pós pandemia somado ao boom de comodities."
45,2022-05-27 03:51:35+00:00,Mysterydealz,"Realme Narzo 30 5G (6GB, 128GB) for ₹12,600/-

Apply ₹3,000 off Coupon + ₹1,399 off on Citibank Cards.

https://t.co/MgIu9bc2P8"
46,2022-05-27 03:44:29+00:00,CozyPenguin741,@Captnandthekid1 @kincaid Hi 😋 https://t.co/eZCzi7mbES
47,2022-05-27 03:40:27+00:00,CozyPenguin741,@Captnandthekid1 @kincaid https://t.co/GvpmJVomZz
48,2022-05-27 03:37:16+00:00,joevo2,@tevanraj Eh they have a new app? HLB Connect kinda meh. Personal fav is MAE and close second is Citibank though it may be laggy at times.
49,2022-05-27 03:19:21+00:00,ebottcher,"As I wore this mask (from the Human Services Council COLA rally) around Manhattan today, I got lots of curious looks. I went into Citibank. The bank teller laughed nervously. It then dawned on me that people were interpreting it as a command, rather than a reference to fair pay. https://t.co/6RWkCoMRkh"
50,2022-05-27 03:18:22+00:00,rambmehta,"@ameya4mPune Any links please?

Citibank provides add-on card just in metro cities.."
51,2022-05-27 03:10:59+00:00,arobertbitter,"It would continue to rise every month until December 1982, when it hit 10.8%.  In lock step with the unemployment rate rising, Y/Y inflation fell in 11 of 14 months, ending up at 3.8%.  By this time, both Mexico and Brazil were insolvent, and Citibank was about to go under too."
52,2022-05-27 03:05:41+00:00,R_Siddharthan,"Modi Effect - From Harley-Davidson, General Motors, Ford, Holcim, Citibank, Barclays, RBS, and now Metro Cash &amp; Carry, the tally of global giants exiting India or downsizing operations has been growing steadily.
Points of departure https://t.co/TjqhYN5EMy"
53,2022-05-27 03:02:07+00:00,MiguelRamnRiva1,"@itriago_camejo @1retrovisor Zapatería Miami en la avenida Universidad, una cuadra sede Banco Union.
Tenía 20 años y trabajaba en Citibank, Carmelitas."
54,2022-05-27 03:01:37+00:00,POctober17,"Agree. It would seem that Valdez oil spill has apparently formed the Devil Houston Citibank ( reminder to self, dont subscribe to Disney Channel and watch Episode 7 of uh Mandalorian season 2 )

#duntcare
#DavidAttenboroughWho?
#DynastiesII scam on Isklander Icelandiaz .. https://t.co/7zurpsfxIo"
55,2022-05-27 02:49:05+00:00,ferrerfla,"@flausinoJQ O Espaço das Américas passou a se chamar Espaço Unimed ... e não Unimed Hall (que já foi Credicard Hall, Citibank Hall). São locais diferentes. 😉"
56,2022-05-27 02:06:33+00:00,DebraWiegand1,@lukebryan @LukeBry73386556 @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 Hi How are you doing tonight Luke ❤️
57,2022-05-27 01:38:41+00:00,azhari_toto,"@Citilink min mau nanya, ini discount bank mega atau citibank ya min? Menu nya bang mega tapi kenapa pas saya baca jafi citibank min🙏🏻 https://t.co/qnkXqnI3ir"
58,2022-05-27 01:35:50+00:00,NormanCharles66,"I wanted to withdraw cash at my @Citibank ATM on Tues, but there were  homeless people in there smoking. I went back on Wed, and they were there again. How about some security at 333 Park Ave. S., NYC (#000040592)? If I don't feel safe using an ATM, I'll need to bank elsewhere."
59,2022-05-27 01:15:28+00:00,MaychimeCharmer,@catrussy Citibank but I keep hearing good things about capital one!
60,2022-05-27 01:05:22+00:00,Cellis65,@virgotweet @IanAustReach The same year Citibank was named global financial institution of the year - it was technically broke the following year - which tells you ALL you need to know about the caliber of recipients
61,2022-05-27 00:43:54+00:00,2021Kashif,"You can apply directly through the “apply now”link.

You have to fill your card number, name and mobile number and resident city(for document collection).

After that Representative of Citi bank will collect add on form and documents from you. (2/3) https://t.co/qxY51sTG5w"
62,2022-05-27 00:15:22+00:00,HonoriaGlossop3,"@gidyupbuttrcup @Vicky_ACAB Right, so necessary govt services can be run by the likes of Comcast,  Citibank, United Airlines, and Verizon instead? No thank you."
63,2022-05-27 00:10:26+00:00,IntrumJustia,@SICNoticias Mais de dois são três? Aproveite já tmbem o nosso desconto de 75% no cartão citibank. P
64,2022-05-27 00:09:37+00:00,julayneelle,@mattdpearce @CultureClap how old do you have to be to get a credit card? can we also ask banks to get involved and deny these purchases? @Citibank @WellsFargo @Chase @AlliantCU @BofA_News
65,2022-05-26 23:57:55+00:00,ISSPOL,"“(…) nuestra mayor expectativa, es recuperar alrededor de 260 MM que están en bonos de deuda interna en el Banco Central, con claridad de documentos ilegítimamente registrados a nombre de Citibank NA Nats Cumco LLC (…) señala el Crnl. González."
66,2022-05-26 23:57:46+00:00,DUKERONALDO5,"A* ""HOUSE"", 30, DALMAJI-GIL, HAEUNDAE-GU, BUSAN CITY, PAID BY: ""CITI BANK"".
* I, EMPEROR RONALDO PÀRDEDE OWNS ""A HOUSE IN 30, DALMAJI-GIL, HAEUNDAE-GU, BUSAN CITY"" FOREVER.
* MY KOREAN WIVES CAN STAY HERE FOREVER. https://t.co/lfytojEdj9"
67,2022-05-26 23:48:28+00:00,DADargBA,"@pbarbieri si?

x?

Netflix (CDs por correo a straming hub)

McDonalds amarillo y rojo a Verde y Blanco

coca cola a coke

telefonica movistar

Citibank Citi

The Facebook Facebook

yacimientos pf ypf

GasNarural Naturgy

se viene un mercadolibre meli?

etc^2"
68,2022-05-26 23:45:41+00:00,DUKERONALDO5,"* ""LUXURY DESIGNER HOUSE"", 127 MARINE CITY - RO, HAEUNDAE - GU, ARATRIUM HAEUNDAE, BUSAN CITY, PAID: ""CITI BANK SEOUL OFFICES"".
* I, EMPEROR RONALDO PÀRDEDE OWNS ""LUXURY DESIGNER HOUSE"" FOREVER.
* WIVES CAN STAY HERE FOREVER. https://t.co/SiQdOvwE0U"
69,2022-05-26 23:29:03+00:00,fin_bear,"⭐ #บัตรเครดิตซิตี้ #บัตรกดเงินสด อนุมัติง่ายจริง รู้ผลไว สมัครง่าย โปรโมชั่นเพียบ

⭐ สมัครออนไลน์ ง่ายไม่ยุ่งยาก คลิก : https://t.co/9SATn8W4AK

#FinBear #โปรบัตรเครดิต #สมัครบัตรเครดิต #เครดิตเงินคืน #cashback #ฟรีค่าธรรมเนียม #บัตรเงินสด
#CITI #CITIBANK #CITIREADY #บัตรเครดิต https://t.co/GueOok3ju5"
70,2022-05-26 23:23:09+00:00,LandianMeta,"Citi Bank has projected that by 2030, the Metaverse will capture five billion users - and be a thriving $13T economy.
 
Citi analysts called the metaverse “The next generation of the internet.”
 
You still have time to join and be part of the pioneers of the metaverse.

#landian https://t.co/jJOIN5M9DC"
71,2022-05-26 23:12:39+00:00,purrifecto,@meowstery Wah apa tuh tips nya nis? Pernah apply citibank via linkedin kayaknya cv ku gak layak tampil deh 🥲
72,2022-05-26 23:01:31+00:00,MacoiMae,"How does Citibank treat military members? By NOT complying with military deployment interest rate adjustments @Citibank #citibank
Closed my accounts today"
73,2022-05-26 22:43:36+00:00,Ezilidanto,"@WorldBoy12 @moniclesca @nytimes @Citibank It's RESTITUTION not reparations. &amp; called ""rasom"" or an embezzlement because Haiti was FORCED, at point of 300French cannons, to pay France for France losing African enslaved people it called property in Haiti who won their Independence by beating France, Spain,England in combat"
74,2022-05-26 22:29:11+00:00,AreYouAwaQe,"Anybody have an idea how to cash
a check cut from Farmers Ins for a
deal to get a vehicle fixed
instead of going through the red tape when they don't
have the claim number?

The bank on the check is citibank.
They said they need a claim number.
I called Farmers for my elderly"
75,2022-05-26 22:22:46+00:00,lizzie_j_saltz,@catrussy I have Chase and Citibank! They’re above average. Better than Bank of America that’s for sure
76,2022-05-26 22:10:52+00:00,DrJennaClegg2,@GovernorTomWolf 4)agree that these diamonds and Pearl Jam’s recent posting are only in the annual Citibank and Lehman. I look forward to your thoughts. Thank you since I know the grave mistakes simple and amazing.Helpful hugs to you and yours. https://t.co/VBYTm9FPkc
77,2022-05-26 22:01:44+00:00,AZpayAttention,Citibank Called Police On Black Singer Over $30K Check From Her Father! ... https://t.co/wdhgSBmQCd via @YouTube
78,2022-05-26 22:01:24+00:00,AndreaLamber,"Well, now I know someone used/made a Citibank account fraudulently in my name. Knock it off."
79,2022-05-26 21:57:01+00:00,amchamec,"🎊Felicitamos a nuestro socio #CitiBank por sus 62 años de gestión. 

👏Auguramos éxitos en sus próximos proyectos y estamos seguros que seguirán siendo una pieza fundamental para el desarrollo económico del país  🇪🇨 https://t.co/1xpBmMd5x6"
80,2022-05-26 21:56:00+00:00,PFInsider,"We've compared @Citibank and @WellsFargo savings accounts, checking accounts, and CDs so you can see if a particular institution might be a better fit for you https://t.co/betocsgY3O"
81,2022-05-26 21:29:17+00:00,nosequeponer590,@AndresStracquad El sueño húmedo de las minas progres es ser ceA/girl boss de BlackRock o Citibank y hacer a todos hablar con la e
82,2022-05-26 21:28:54+00:00,Ezilidanto,@moniclesca @nytimes @Citibank https://t.co/Bu79V8TtrK
83,2022-05-26 21:09:06+00:00,JayBraddd,@Citibank just did some weird ass dumb ass shit with my account
84,2022-05-26 21:02:36+00:00,nrmoore,"@rush_less That, and texts from regular phone numbers saying my Citi Bank account has been locked (don’t have one)"
85,2022-05-26 20:54:40+00:00,escuelagob_UHE,"@asobancos @ChioVelardeG Felicitaciones @ChioVelardeG @Citibank por el aniversario, #65años haciendo historia en Ecuador👏👏👏"
86,2022-05-26 20:51:45+00:00,alliekenneynyc,@citibank @CitiBikeNYC @lyft @NYCMayor @nypost @NYTMetro  Citibikers &amp; other bikers running red lights on 6th Av just below Herald Square this afternoon 5/26. Was chaotic. https://t.co/0bT45gHQpG
87,2022-05-26 20:49:35+00:00,John65364718,"son to Harley-Davidson, General Motors, Ford, Holcim, Citibank, Barclays, RBS, and now Metro Cash &amp;amp; Carry, the tally of global giants,,,"
88,2022-05-26 20:38:49+00:00,chicagobougie,"Is it normal for a bank to cash a check issued by them only if you supply your social security number, telephone number ,occupation, multiple forms of ID, and get told to drive to a branch with a manager? And repeat 🔁 #citibank #bankingwhileblack #soundssuspicious #blacktwitter https://t.co/qpWFYbeNvX"
89,2022-05-26 20:37:13+00:00,Saniz23893508,@moniclesca @nytimes @Citibank Did we pay for the new dress too? https://t.co/VroOJwC6uP
90,2022-05-26 20:36:02+00:00,Saniz23893508,@WorldBoy12 @moniclesca @nytimes @Citibank https://t.co/l1dB3tEmP7
91,2022-05-26 20:35:56+00:00,Saniz23893508,@WorldBoy12 @moniclesca @nytimes @Citibank https://t.co/bKL9d191p2
92,2022-05-26 20:35:51+00:00,Saniz23893508,@WorldBoy12 @moniclesca @nytimes @Citibank https://t.co/UL1PemptZT
93,2022-05-26 20:35:42+00:00,Saniz23893508,@WorldBoy12 @moniclesca @nytimes @Citibank Because it was a ransom.
94,2022-05-26 20:35:19+00:00,Saniz23893508,@moniclesca @nytimes @Citibank There should be a whole series of this Kind.
95,2022-05-26 20:34:39+00:00,Saniz23893508,@moniclesca @nytimes @Citibank You represented us very well today. Very proud of you. Thank you
96,2022-05-26 20:28:30+00:00,f_castro_primoy,Why can’t I access @Citibank anymore through @Plaid?????
97,2022-05-26 20:18:28+00:00,Normita_07,"@ScotiaColpatria Que mal, estamos perdiendo todos los beneficios que teníamos con Citibank - cada vez extraño más el banco con el cual inicie, estos cambios son pésimos"
98,2022-05-26 20:17:19+00:00,Piechocinski,Citibank jest zainteresowany udziałem kapitałowym w transformacji energetycznej Polski
99,2022-05-26 20:13:36+00:00,PowerAbovenone,Citibank stole Haitian Gold in 1914
100,2022-05-26 19:54:34+00:00,Momzilla1967,@lukebryan @Iukebryan02 @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 Will you please come to Dallas so I can make it to see you lol
101,2022-05-26 19:52:39+00:00,delete75522330,"Points of departure . From Cairn and Hutchison to Harley-Davidson, General Motors, Ford, Holcim, Citibank, Barclays, RBS, and now Metro Cash &amp;amp; Carry, the tally of global giants..."
102,2022-05-26 19:52:10+00:00,congmo1863,"Points of departure . From Cairn and Hutchison to Harley-Davidson, General Motors, Ford, Holcim, Citibank, Barclays, RBS, and now Metro Cash &amp;amp; Carry, the tally of global giants..."
103,2022-05-26 19:29:33+00:00,NidhiSi12565826,@Citi @AskCiti @Citibank Such a disgusting message each day.Same on citi..inspite of sharing everthing no control.I do not hold card and talking about BUREAU SCORE???? https://t.co/rjxqTz3xyg https://t.co/EmrxUwZmyV
104,2022-05-26 19:23:13+00:00,PeruEnGinebra,"Se reunió finalmente con el Ministro de Economía de Suiza, Guy Pamelin; con líderes empresariales de Anglo-American, Glencore, Citibank, y Procter &amp; Gamble; y acompañó a la Vicepresidenta con el Secretario General de OCDE, Mathias Cormann. #wef22 @MEF_Peru https://t.co/ESyWdmJNIk"
105,2022-05-26 19:18:36+00:00,AskCiti,"@SamMarsh32963 Hello Sam, Citibank will never send an email asking for your personal information. We will especially not ask it via Social Media. Please forward that email to us at submitphishing@citi.com. ^Rita https://t.co/gvC4jAOA9c"
106,2022-05-26 19:11:38+00:00,Badass33309276,@nytimes Citi bank should state how much it made from Haiti that it used to pay the French who enslaved them?
107,2022-05-26 19:08:51+00:00,RonyCamille,@moniclesca @nytimes @Citibank Thank you for your words today.
108,2022-05-26 19:08:43+00:00,TheGabrielStan,@moniclesca @nytimes @Citibank 👏🏿👏🏿👏🏿👏🏿👏🏿
109,2022-05-26 19:03:38+00:00,BPF1073,@Plaid Please fix your issues with Citibank.  Thank you.
110,2022-05-26 18:55:52+00:00,dealztrendz,"Realme Narzo 30 5G (6GB, 128GB) for ₹12,600 (Effectively)

📌Apply ₹3,000 off Coupon + ₹1,399 off on Citibank Cards.

https://t.co/4fGJHSNpa4"
111,2022-05-26 18:51:43+00:00,visionsvcb,"This week, participants at our Older Adult Center enjoyed decorating their own cookies and cupcakes with @Citibank Pastry Chef Jen Kim. Thank you to Chef Kim for offering such a tasty workshop! As always, VISIONS Center on Aging programs are completely free to older adults (60+). https://t.co/R10SWXSbXb"
112,2022-05-26 18:48:38+00:00,julianasuprstar,https://t.co/OGstqFqsoz this report deserves a reckoning. #citibank you have some explaining to do…
113,2022-05-26 18:47:19+00:00,HaitiLives,@moniclesca @nytimes @Citibank This interview needs to be available to spread to those who are not able to listen in in now.
114,2022-05-26 18:43:22+00:00,NYCKING,"I'm at @Citibank in Hicksville, NY https://t.co/a9OV3GkqRk"
115,2022-05-26 18:36:59+00:00,Hugo__IV,@nytimes @Citibank btw your bank benefited from this too
116,2022-05-26 18:34:09+00:00,AskCiti,"@HarryJr3959 Hello Harry, Welcome to Citibank U.S. Cash Withdrawal Slips are not available to order. If you do not have an ATM/Debit Card available, we can speak with you to order a replacement or you may still withdraw funds but will be subject to additional verification. ^Rita https://t.co/gvC4jAOA9c"
117,2022-05-26 18:30:44+00:00,c9lab_soc,"Phishing Domain: 
remittance-citibank[.]com

#phishing"
118,2022-05-26 18:30:21+00:00,birth__ofEresse,My ass just got this Citibank account and I do not remember the damn 😩 pass word I made
119,2022-05-26 18:12:02+00:00,marcberman,Globalization for food security and ending world hunger https://t.co/sN0sW9vUVW via @wef You can facilitate global cooperation by having your bank return my daughter's life savings. Why is she to blame for being a victim of SIM Card fraud. And why will you not respond? @Citibank
120,2022-05-26 18:06:17+00:00,Simply_safe88,@unusual_whales Citi? Citi bank?! Naaaaah I’ll pass https://t.co/rGPuocdHD7
121,2022-05-26 17:56:10+00:00,146leo,"@RBI I am still waiting the outcome  following my written complaint against Citi Bank,3 weeks back. Bank transferred my account to RBI for not being used.The reason was they had made it dormant for nearly 10 yrs.I was promised response by RBI in two days. It's over 3weeks now."
122,2022-05-26 17:55:45+00:00,CommodoreBay,@tar___ruh @nikepreclassic @haywardfield https://t.co/1zKtrJUJMa @azmesq @Citibank @MercedesBenzUSA @NissanUSA @newseasons @NYSE @jarridvtingle @Nikki_T @MarlonCNichols
123,2022-05-26 17:54:42+00:00,ShankerShankar2,"@AskCiti , Citibank"
124,2022-05-26 17:48:50+00:00,DroppedmicAgain,"I'd just like everyone to know @Citi is the worst bank, has no idea how to rectify hacked accounts, fraudulent loans, etc and will hold your money hostage without a resolution. Do not use Citibank for any banking."
125,2022-05-26 17:48:07+00:00,DavidSnipez,@NUGJPCHASE tell Sam he can’t hit orders like @Citibank
126,2022-05-26 17:43:54+00:00,mario_prosp,"“Whenever we needed money, we'd rob the airport. To us, it was better than Citibank.”"
127,2022-05-26 17:39:19+00:00,AskCiti,"@Random8649 Hello and welcome to Citibank U.S. Cash Withdrawal Slips are not available to order. If you do not have an ATM/Debit Card available, we can speak with you to order a replacement or you may still withdraw funds but will be subject to additional verification. ^Rita https://t.co/gvC4jAOA9c"
128,2022-05-26 17:35:03+00:00,SRThoughtLeader,The City of Atlanta – along with @OperationHOPE and @Citibank - announced a partnership that will provide child savings accounts to APS kindergarteners  @AllisonNJoyner   https://t.co/AuG9kxtICN https://t.co/CIcxMMB6SQ
129,2022-05-26 17:22:41+00:00,1974mmribeiro,@gleisi @pauloganime @partidonovo30 @joaoamoedonovo @salimmattarbr @LiberalPT @PSL_Nacional @ArthurLira_ @SenadoFederal @senadorhumberto @ContaratoSenado @pr_senado @Fiesp @CNI_br @Bradesco @itau @santander_br @Citibank @FMInoticias @ASachsida @jairbolsonaro @CarlosBolsonaro
130,2022-05-26 17:19:42+00:00,JFX942,"Europe commonly uses this Strategy to SET Monarch known as First Speaker, in USA, by creating a Ranking of women, to create white women as European Banks with First Speak, and other foreign vessels, made of ""french purple carpet"" are to ""follow"". USA US Bank Citibank Program."
131,2022-05-26 17:14:07+00:00,GFTribGHiggins,"""Whenever we needed money, we'd rob the airport. To us, it was better than CitiBank..."" RIP Ray Liotta, an icon as Henry Hill and an actor that made every single scene he was in better, no matter if it was on Oscar-nominee or a B crime flick. https://t.co/f653cQwKwJ"
132,2022-05-26 17:05:12+00:00,muztanesi,bugün biri eski iş yerim olmak üzere 2 yerden dönüş geldi mckinsey eğitimine başlayacağım onun maili geldi arti citibank ceosuna rehberlik yapcam o geldi fena iyi haberler gelen bi gün oldu
133,2022-05-26 17:00:01+00:00,TrendMicroHome,"⚠️#Phishing sites can look similar to legitimate ones; don't enter log-in credentials! Try #TrendMicroCheck, an all-in-one #antiscam tool👉https://t.co/15wcmkJERM (100% FREE!)

#cybersecurity #scam #apple #amazon #Citibank #bank #money #infosec https://t.co/U6lwkJjU2v"
134,2022-05-26 16:48:21+00:00,NewsFromBW,Citibank UK Regulatory Announcement: FRN Variable Rate Fix https://t.co/qWaf1GtJYq https://t.co/YqZSmc2MoY
135,2022-05-26 16:48:19+00:00,NewsFromBW,Citibank UK Regulatory Announcement: FRN Variable Rate Fix https://t.co/JQmpQl5Gc1 https://t.co/iGRbM92rUD
136,2022-05-26 16:48:17+00:00,NewsFromBW,Citibank UK Regulatory Announcement: FRN Variable Rate Fix https://t.co/NKsIXzHOk7 https://t.co/htngBTkU5K
137,2022-05-26 16:48:15+00:00,NewsFromBW,Citibank UK Regulatory Announcement: FRN Variable Rate Fix https://t.co/6mTH2DGyI0 https://t.co/qrJ1s1KAvG
138,2022-05-26 16:48:13+00:00,NewsFromBW,Citibank UK Regulatory Announcement: FRN Variable Rate Fix https://t.co/Cm48i1sILs https://t.co/NrE08pIDuq
